City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Trincomalee,LK,80.35,light rain,8.57,81.23,Welcombe Hotel
636,Paka,MY,78.8,light rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
641,Maldonado,UY,77.0,clear sky,-34.67,-54.92,La Cimarrona
647,Sao Miguel Dos Campos,BR,75.2,scattered clouds,-9.78,-36.09,Lotu's Motel
652,Buluang,PH,76.15,light rain,13.31,123.34,Enon Beach Resort
653,Koumac,NC,82.15,overcast clouds,-20.57,164.28,Le Monitel
654,Nkan,GA,82.4,few clouds,0.38,9.78,Hôtel Santa Barbara
665,Trinidad,BO,80.6,shower rain,-14.83,-64.9,Hotel Piesta
669,Chapada Dos Guimaraes,BR,87.8,heavy intensity rain,-15.46,-55.75,Pousada Morro Dos Ventos
674,Manokwari,ID,81.07,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
677,Robertsport,LR,80.73,clear sky,6.75,-11.37,Kwepunha Retreat
679,Bom Jesus,BR,78.24,moderate rain,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
683,Altamira,BR,75.81,overcast clouds,-3.2,-52.21,Requinte Hotel
689,Kupang,ID,78.8,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
