City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Anshun,CN,26.25,105.93,38.71,75,100,7.49,overcast clouds
338,Neiafu,TO,-18.65,-173.98,84.2,79,75,6.93,light intensity drizzle
339,Salalah,OM,17.02,54.09,71.6,73,0,4.7,clear sky
340,Colares,PT,38.8,-9.45,48.0,93,0,2.24,clear sky
341,Filingue,NE,14.35,3.32,74.32,20,0,2.62,clear sky
342,Lamar,US,33.67,-95.58,48.99,49,75,3.42,broken clouds
343,Tautira,PF,-17.73,-149.15,82.4,48,40,18.34,thunderstorm with light rain
344,Peleduy,RU,59.63,112.74,-16.67,84,100,13.38,overcast clouds
345,Banon,ES,40.84,-1.19,42.8,38,98,26.4,overcast clouds
346,Vawkavysk,BY,53.16,24.45,35.38,94,100,5.14,light rain
347,Iskateley,RU,67.68,53.15,-1.91,91,10,11.54,clear sky
348,Pangnirtung,CA,66.15,-65.71,-14.75,83,100,2.35,overcast clouds
349,Khargone,IN,21.82,75.6,69.48,61,100,2.59,overcast clouds
350,Christchurch,NZ,-43.53,172.63,71.01,52,97,9.17,overcast clouds
351,Brownwood,US,31.71,-98.99,57.2,28,1,6.93,clear sky
352,Seddon,AU,-37.81,144.89,64.99,100,75,8.05,light rain
353,Fuxin,CN,42.02,121.66,1.09,74,0,5.5,clear sky
354,Akola,IN,20.73,77.0,65.16,52,76,6.29,broken clouds
355,Aykhal,RU,66.0,111.5,-18.4,75,0,6.71,clear sky
356,Marzuq,YE,14.4,46.47,59.7,58,22,1.74,few clouds
357,Erenhot,CN,43.65,111.98,-7.24,85,48,5.75,snow
358,Brae,GB,60.4,-1.35,37.4,86,49,12.75,scattered clouds
359,Avera,US,33.19,-82.53,60.8,84,90,6.64,mist
360,Kudahuvadhoo,MV,2.67,72.89,81.21,79,29,11.07,moderate rain
361,Cuiluan,CN,47.72,128.65,-16.83,85,5,4.81,clear sky
362,Bambous Virieux,MU,-20.34,57.76,77.0,69,20,11.41,light rain
363,Nortelandia,BR,-14.45,-56.8,82.02,62,36,0.16,light rain
